id,title,poster,year,description,genre,rating,users_rating,votes,languages,directors,actors,runtime,rating_float,rating_float_scaled,users_rating_scaled,votes_scaled,runtime_scaled,genre_Action_scaled,genre_Adventure_scaled,genre_Animation_scaled,genre_Biography_scaled,genre_Comedy_scaled,genre_Crime_scaled,genre_Drama_scaled,genre_History_scaled,genre_Horror_scaled,genre_Romance_scaled,genre_Thriller_scaled,languages_Dutch_scaled,languages_English_scaled,languages_Indonesian_scaled,languages_Minangkabau_scaled,trailer_url
11,Milea,https://m.media-amazon.com/images/M/MV5BYWQwYTVkMDQtZjk5Ni00ODliLWFiNDktODYxODMyNzM1NmNmXkEyXkFqcGc@._V1_QL75_UX385.5_.jpg,2020,Milea made the decision to part with Dilan as a warning for Dilan to stay away from the motorcycle gang. But the parting which had been only a bluff for Milea became a parting that lasted until they graduated from college and grew up.,Drama,13+,6.1,239,Indonesian,Pidi Baiq,"['Iqbaal Dhiafakhri Ramadhan', 'Vanesha Prescilla', 'Ira Wibowo', 'Bucek Depp', 'Happy Salma', 'Farhan', 'Yoriko Angeline', 'Debo Andryos', 'Zulfa Maharani', 'Gusti Rayhan', 'Omara N. Esteghlal', 'Giulio Parengkuan', 'Andovi Da Lopez', 'Jerome Kurnia', 'Tike Priatnakusumah']",102,13,-0.064632138,-0.219590211,-0.105240539,0.199055694,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
12,Nanti Kita Cerita Tentang Hari Ini,https://m.media-amazon.com/images/M/MV5BNWIzMjM0OWItOGM1ZS00NDY2LTgyNTAtNmM0NmUxNjQ1NGY2XkEyXkFqcGc@._V1_QL75_UX1230_.jpg,2020,"Three siblings live in happy-looking families, but one of them had changed and got warned by his parents. This prompted the rebellion of the three siblings which led to the discovery of the secrets and great trauma in their families.",Drama,13+,7.5,678,Indonesian,Angga Dwimas Sasongko,"['Rio Dewanto', 'Sheila Dara Aisha', 'Rachel Amanda', 'Sinyo Riza', 'Nayla D. Purnama', 'Alleyra Fakhira', 'M. Adhiyat', 'Syaqila Afiffah Putri', 'Donny Damara', 'Susan Bachtiar', 'Oka Antara', 'Niken Anjani', 'Agla Artalidia', 'Ardhito Pramono', 'Sivia Azizah']",121,13,-0.064632138,0.822005835,-0.07279698,1.500200227,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
13,Nikah Yuk,https://m.media-amazon.com/images/M/MV5BZWFkN2RhOTgtMzM4YS00ODRiLTk2ZDUtNzI3ODVjNDExOWEyXkEyXkFqcGc@._V1_QL75_UX217.5_.jpg,2020,"Arya (Marcell Darwin) is asked by his parents to get married soon, but he wants to focus on his career as a photographer in Japan. Until one day, Arya met Lia (Yuki Kato), a comic artist who brought his life to a new chapter.",Drama,13+,6.9,15,Indonesian,Adhe Dharmastriya,"['Yuki Kato', 'Marcell Darwin', 'Aliyah Faizah', 'Dwi Akraniza A.', 'Jessica Veranda', 'Sadana Agung Sulistya', 'Ananta Rispo', 'Fico Fachriza', 'Roy Marten', 'Ivanka Suwandi', 'Kevin Bzezovski', 'Keinaya Meissi Gusti', nan, nan, nan]",94,13,-0.064632138,0.37560753,-0.121794883,-0.348794636,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
14,Rasuk 2,https://m.media-amazon.com/images/M/MV5BN2M5OGE2N2MtODVlNi00YmY4LThkYzEtOGY4ZDI2YTNlY2Q4XkEyXkFqcGc@._V1_QL75_UX150_.jpg,2020,"Isabella (Nikita Willy), a medical student who is undergoing intern, feels uncomfortable with her sixth sense ability. She tries hard to think it do not exist, so she could live normally. ...",Horror,17+,6.4,9,Indonesian,Rizal Mantovani,"['Nikita Willy', 'Achmad Megantara', 'Asri Welas', 'Raquel Katie Larkin', 'Sonia Alyssa', 'Lania Fira', 'Rachel Patricia', ""Afifah Ifah'nda"", 'Tegar Satrya', 'Iang Darmawan', nan, nan, nan, nan, nan]",95,17,0.741014979,0.003608942,-0.122238303,-0.280313345,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
15,Si Doel the Movie 3,https://m.media-amazon.com/images/M/MV5BN2ZiMmNkZGEtMjM0Mi00OGRhLTg0YWItYzg1YTc0M2FiMjM2XkEyXkFqcGc@._V1_QL75_UX124.5_.jpg,2020,"The return of Sarah with his son, Dul, to Jakarta, welcomed happily by the Doel's family. But it also makes Zaenab, Sarah, and Doel confronted with decisive choice.",Drama,13+,7.2,82,Indonesian,Rano Karno,"['Rano Karno', 'Maudy Koesnaedi', 'Cornelia Agatha', 'Mandra', 'Suti Karno', 'Rey Bong', 'Aminah Cendrakasih', 'Ahmad Zulhoir Mardia', 'Salman Alfarizi', 'Opie Kumis', 'Ranty Purnamasari', 'Sabar', 'Maryati Tohir', 'Hj. Tonah', 'Wizzy']",93,13,-0.064632138,0.598806682,-0.11684336,-0.417275928,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
16,Titus: Mystery of the Enygma,https://m.media-amazon.com/images/M/MV5BYjZhYzhhOWQtYjYxYi00MDI0LTg3ZWYtM2YzYjYxYmNmM2JkXkEyXkFqcGc@._V1_QL75_UX217.5_.jpg,2020,"A mouse-detective with his rabbit and lizard friends in Steamburg. They will jointly expose the crime one of their biggest enemies, a cat named named Bulpan. Starting as a pickpocket, Bulpan works hard to become a very skilled criminal.",Animation,SU,6.2,10,Indonesian,Dineshkumar Subashchandra,"['Arbani Yasiz', 'Ranty Maria', 'Lukman Sardi', 'Robby Purba', 'Jessica Tanoesoedibjo', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",95,0,-2.682985269,-0.145190494,-0.1221644,-0.280313345,-0.313625024,-0.260248119,16.34013464,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
17,Toko Barang Mantan,https://m.media-amazon.com/images/M/MV5BMTUxMDAwMzEtMDQ5NC00NzZmLWJjMTQtNGUyODAwNDlmZjZkXkEyXkFqcGc@._V1_QL75_UX150_.jpg,2020,"Tristan (Reza Rahadian) is the owner of the shop that buys and sells ex-lover items for people who want to move on. Suddenly, Laras (Marsha Timothy), his ex-lover, comes and makes his life turned upside down.",Comedy,13+,6.3,71,Indonesian,Viva Westi,"['Reza Rahadian', 'Marsha Timothy', 'Iedil Dzuhrie Alaudin', 'Dea Panendra', 'Syifa Hadju', 'Niken Anjani', 'Brigitta Cynthia', 'Mas Cemen', 'Ibob Tarigan', 'Martin Anugerah', 'Roy Marten', 'Laura Theux', 'Fendy Chow', 'Stella Cornelia', 'Shareefa Daanish']",98,13,-0.064632138,-0.070790776,-0.117656297,-0.074869471,-0.313625024,-0.260248119,-0.061199006,-0.175411604,1.990719207,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
18,#Malam Jumat: The Movie,https://m.media-amazon.com/images/M/MV5BOTA0YjUxODktMjQ1Mi00ODJmLWI4MGUtOWE3OTVkMTY1NzAxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"To provide a different experience to his subscribers, Ewing tries something new by exploring a playground called the Wonder Park that had been abandoned for a long time. With his team, Agan...",Horror,17+,5.3,47,Indonesian,Hadrah Daeng Ratu,"['Ewing H.D.', 'Zoe Abbas Jackson', 'Dea Annisa', 'Randy Pangalila', 'Ade Firman Hakim', 'Ajil Ditto', 'Harris Illano', 'Putra Dinata', 'Sonia Alyssa', 'Chaca Marisa', 'Andy Jali', nan, nan, nan, nan]",91,17,0.741014979,-0.814787952,-0.119429977,-0.55423851,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
19,27 Steps of May,https://m.media-amazon.com/images/M/MV5BZTE0MTU4YjctMzg5MS00NTU4LTllNDEtYzAwY2IwMjYxNzliXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2018,"Following a horrible experience, May has isolated herself and stopped talking. Her father blames himself and tries to live by May's conditions year after year. But one day a hole appears in the wall and through it May discovers a magician.",Drama,17+,8.2,280,Indonesian,Ravi L. Bharwani,"['Raihaanun Soeriaatmadja', 'Lukman Sardi', 'Ario Bayu', 'Verdi Solaiman', 'Norman R. Akyuwen', 'Fajar Alamsyah', 'Alfon', 'Joko Anwar', 'Bowie Budianto', 'Elsa Dinra', 'Maryadi', 'Nandang', 'Richard Oh', 'Jonathan Ozoh', 'Otig Pakis']",112,17,0.741014979,1.342803858,-0.102210502,0.883868606,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
20,99 Nama Cinta,https://m.media-amazon.com/images/M/MV5BNzMzNjcxZGMtZDQ0Ny00NzFhLTk4Y2MtZTU2MDdlNDdjMTA4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"The life of a producer of popular gossip shows, suddenly changed drastically when she met a young cleric who appeared in his office to teach her religious lessons as the wish of her father as a debt favor to him.",Drama,SU,8,13,Indonesian,Danial Rifki,"['Acha Septriasa', 'Deva Mahenra', 'Ira Wibowo', 'Donny Damara', 'Chiki Fawzi', 'Adinda Thomas', 'Susan Sameh', 'Dzawin', 'Robby Purba', 'Ji-hye Moon', nan, nan, nan, nan, nan]",106,0,-2.682985269,1.194004423,-0.12194269,0.472980859,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
21,Abracadabra,https://m.media-amazon.com/images/M/MV5BMzc5OTdhM2MtMjA2OC00NDgxLTg2Y2QtOTIwNzU5YTQ5M2FmXkEyXkFqcGc@._V1_QL75_UX270_.jpg,2019,"A magician in the magic show makes a little boy vanishing from his magic box. The show turns tragic, as he cannot make this boy come back to the stage.",Comedy,13+,5.9,39,Indonesian,Faozan Rizal,"['Reza Rahadian', 'Butet Kertaradjasa', 'Salvita Decorte', 'Ence Bagus', 'Imam Darto', 'Dewi Irawan', 'Jajang C. Noer', 'Egy Fedly', 'Lukman Sardi', 'Poppy Sovia', 'Paul Agusta', 'Landung Simatupang', 'Veronika Krasnasari', 'Valerie Krasnadewi', 'Asmara Abigail']",86,13,-0.064632138,-0.368389646,-0.120021203,-0.896644966,-0.313625024,-0.260248119,-0.061199006,-0.175411604,1.990719207,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
22,After Met You,https://m.media-amazon.com/images/M/MV5BZGY3ZDM5NGEtM2Q2Ny00ZDg3LThkOTMtODkzYjM2NWQwZTEwXkEyXkFqcGc@._V1_QL75_UX150_.jpg,2019,"Ari, the coolest and most handsome guy at his school, is challenged by his friends to find a girlfriend who is definitely not interested in him.",Drama,13+,7.8,48,Indonesian,Patrick Effendy,"['Ari Irham', 'Yoriko Angeline', 'Michelle Wanda', 'Naufan Raid Azka', 'Yudha Keling', 'Chicco Kurniawan', 'Dede Satria', 'Joe Project P.', 'Anabel Prisillya', 'Surya Saputra', 'Wulan Guritno', 'Nuraini', 'Joshua Suherman', 'Rigen Rakelna', 'Ananta Rispo']",107,13,-0.064632138,1.045204988,-0.119356073,0.54146215,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
23,Ajari Aku Islam,https://m.media-amazon.com/images/M/MV5BMWYyZDY0NGQtNGVhZi00NzA2LWJkYzItNzJiN2NjYmI2ZDE0XkEyXkFqcGc@._V1_QL75_UX150_.jpg,2019,"Kenny (Roger Danuarta), a Medan Chinese young man fell in love with Fidya (Cut Meyriska) a Batak Melayu Muslim girl. Over time, they love each other, but they were also hit by cultural and religious differences.",Drama,13+,7.1,34,Indonesian,Deni Pusung,"['Roger Danuarta', 'Cut Meyriska', 'Shinta Naomi', 'Miqdad Addausy', 'Asrul Dahlan', 'August Melasz', 'Elkie Kwee', 'Rebecca Regina', 'Neny Anggraeni', 'Roni Galoeng', 'Jennifer Darren', nan, nan, nan, nan]",93,13,-0.064632138,0.524406965,-0.12039072,-0.417275928,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
24,Ambu,https://m.media-amazon.com/images/M/MV5BZjJkZmVkMjgtNmRmOS00YjQ2LWE5ODAtYWEzMjRiM2ZiMDA2XkEyXkFqcGc@._V1_QL75_UX403.5_.jpg,2019,"Ambu Misnah was left by her daughter, Fatma. She left their house at the Baduy for her love for Nico, the youth from Jakarta. Fatma then has a child named Nona. One day, Fatma brings Nona to Baduy. Family polemic arises.",Drama,13+,7.8,16,Indonesian,Farid Dermawan,"['Widyawati', 'Laudya Cynthia Bella', 'Lutesha', 'Baim Wong', 'Endhita', 'Andri Mashadi', nan, nan, nan, nan, nan, nan, nan, nan, nan]",118,13,-0.064632138,1.045204988,-0.12172098,1.294756354,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
25,Anak Hoki,https://m.media-amazon.com/images/M/MV5BN2ZiOGZmYTAtMTE0OC00MGU4LThiNjQtZWJkNGM1ZmE2MWMxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"In his early teens, Ahok has to leave the comfort of his life in Belitung and start living independently in Jakarta. Ahok then gets to know Daniel, Bayu, and Eva who become his closest ...",Drama,13+,4.7,11,Indonesian,Ginanti Rona Tembang Sari,"['Kenny Austin', 'Nadine Waworuntu', 'Lolox', 'Chris Laurent', 'Maia Estianty', 'Tamara Geraldine', 'Leroy Osmani', 'Elkie Kwee', 'Keke Soeryo', 'Niniek Arum', 'Tina Toon', 'Neny Anggraeni', 'Harry Tjahaja Purnama', 'Edric Tjandra', 'Fero Walandouw']",97,13,-0.064632138,-1.261186258,-0.122090496,-0.143350763,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
26,Anak Muda Palsu,https://m.media-amazon.com/images/M/MV5BYmZkODBkZjgtYWM5MC00YmRkLWJiNDItMWFkMGFkMmIzMTM4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,2019,"Tumming, Abu, Illank, and Darwis, the final semester students at the University of Hasanuddin, are troubled at the thought of their lectures that had not finished. They stay in the same ...",Comedy,13+,8.8,23,Indonesian,Ihdar Nur,"['Tumming', 'Abu', 'Reo Ramadhan', 'Hisyam Hamsir', 'Mamak Ramlah', 'Luna Vidya', 'Inten Navadia', 'Fitrah Rachmadani', nan, nan, nan, nan, nan, nan, nan]",103,13,-0.064632138,1.789202164,-0.121203656,0.267536985,-0.313625024,-0.260248119,-0.061199006,-0.175411604,1.990719207,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
27,Antologi Rasa,https://m.media-amazon.com/images/M/MV5BNTJiMDdjYzgtMzczMy00MTQwLTkwMjUtZDgyYTBiYWM5MGEzXkEyXkFqcGc@._V1_QL75_UX127.5_.jpg,2019,"Keara (Carissa Perusset) loves Ruly (Refal Hady), even though she realizes that Ruly loves Denise (Atikah Suhaime). Meanwhile, Harris (Herjunot Ali) also has found his true love in Keara. But for Keara, Harris is just her best friend.",Drama,17+,7.2,98,Indonesian,Rizal Mantovani,"['Herjunot Ali', 'Carissa Perusset', 'Refal Hady', 'Atikah Suhaime', 'Angel Pieters', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",108,17,0.741014979,0.598806682,-0.115660907,0.609943441,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
